species,ageclass,S.mortality,I.mortality,S.recruit,I.recruit,S.transition,I.transition,S.resprout,I.resprout,recover,space,kernel.fn,kernel.par1,kernel.par2,S.init,I.init,waifw1,waifw2,waifw3,waifw4,waifw5,waifw6
1,1,0.006,0.019,NA,NA,0.142,0.142,0,0.5,0.01,NA,adjacent.dispersal,0.5,0.125,0.03859605,0,0.33,0.33,0.33,0.33,1.46,0
1,2,0.003,0.022,0.007,0.007,0.2,0.2,0,0.5,0.01,NA,adjacent.dispersal,0.5,0.125,0.0978483,0,0.32,0.32,0.32,0.32,1.46,0
1,3,0.001,0.035,0.02,0.02,0.05,0.05,0,0.5,0.01,NA,adjacent.dispersal,0.5,0.125,0.1137882,0,0.3,0.3,0.3,0.3,1.46,0
1,4,0.032,0.14,0.073,0.073,0,0,0,0.5,0.01,NA,adjacent.dispersal,0.5,0.125,0.04826745,0,0.24,0.24,0.24,0.24,1.46,0
2,1,0.02,0.02,NA,NA,0,0,0,0,0.1,1,adjacent.dispersal,0.5,0.125,0.1155,0,0.3,0.3,0.3,0.3,1.33,0
3,1,0.02,0.02,NA,NA,0,0,0,0,0.1,1,adjacent.dispersal,0.5,0.125,0.3255,0,0,0,0,0,0,0
