species,ageclass,S.mortality,I.mortality,S.recruit,I.recruit,S.transition,I.transition,S.resprout,I.resprout,recover,space,kernel.fn,kernel.par1,kernel.par2,S.init,I.init,waifw1,waifw2,waifw3,waifw4,waifw5,waifw6
1,1,0.0061,0.069,0,0,0.142,0.0521184,0,0.5,0.01,1.933488012,adjacent.dispersal,0.5,0.125,0.03859605,0,0.38,0.38,0.38,0.38,0.38,0
1,2,0.0031,0.076,0.007,0.007,0.2,0.0264864,0,0.5,0.01,0.762660159,adjacent.dispersal,0.5,0.125,0.0978483,0,0.31,0.31,0.31,0.31,0.38,0
1,3,0.0011,0.134,0.02,0.02,0.05,0.0093984,0,0.5,0.01,0.655823715,adjacent.dispersal,0.5,0.125,0.1137882,0,0.34,0.34,0.34,0.34,0.38,0
1,4,0.032,0.468,0.073,0.073,0,0,0,0.5,0.01,1.546072975,adjacent.dispersal,0.5,0.125,0.04826745,0,0.23,0.23,0.23,0.23,0.38,0
2,1,0.02,0.02,0.076775432,0.076775432,0,0,0,0,0.1,1,adjacent.dispersal,0.5,0.125,0.1155,0,0.38,0.38,0.38,0.38,0.418,0
3,1,0.005,0.005,0.019193858,0.019193858,0,0,0,0,0.1,1,adjacent.dispersal,0.5,0.125,0.3255,0,0,0,0,0,0,0
